timestamp,male,female,aufmacher
1588504077.4732583,27,15,0
1588507702.8059788,28,14,0
1588511223.3098333,30,10,0
1588514850.5463352,29,16,0
1588518449.6866746,39,19,1
1588522213.5078895,35,19,1
1588525633.369385,40,16,0
1588529277.1261892,39,18,0
1588532904.0802023,38,18,1
1588536432.033494,38,18,0
1588539969.9377403,40,19,0
1588543595.9342344,40,19,0
1588547182.6786091,40,19,0
1588551155.5759954,41,19,0
1588554599.0747592,41,19,0
1588558013.5665855,41,19,0
1588561632.3233583,41,19,0
1588565267.4653842,43,20,0
1588568900.6201296,41,21,0
1588572469.466139,38,17,0
1588576090.013143,34,13,0
1588579655.8509073,36,15,0
1588583214.087701,37,16,0
1588586831.2711601,38,17,0
1588590327.0261898,37,17,0
1588594121.2397132,35,17,0
1588597740.972724,36,16,0
1588601364.4309306,36,16,0
1588604910.9507322,31,13,0
1588608672.8451066,30,15,0
1588612402.0535688,30,15,0
1588616332.8359175,28,14,1
1588619463.194977,32,16,0
1588624202.3712125,30,16,0
1588627884.2182944,31,15,0
1588632117.9044836,32,14,0
1588634599.5113769,32,14,0
1588644348.4142325,32,14,0
1588647944.2865505,32,14,0
1588651765.7538655,33,16,1
1588655304.1273398,33,14,1
1588658889.4840515,32,14,1
1588662485.7689874,30,17,1
1588665992.6461327,31,16,1
1588669632.1965554,29,16,1
1588673134.9425745,23,16,0
1588676884.29281,22,18,1
1588680555.3700936,27,12,0
1588684090.1738157,28,16,0
1588687834.8810666,32,16,0
1588691285.0500057,33,19,1
1588694963.3104668,33,18,1
1588698499.9478087,32,19,1
1588702210.2049882,31,21,1
1588705843.421341,32,21,1
1588709299.401005,32,18,1
1588712902.823061,34,18,1
1588716550.7667637,31,18,0
1588720055.647204,31,18,0
1588723941.9422092,31,18,0
1588727487.8554902,31,18,0
1588730836.5132117,31,18,0
1588734368.1156476,32,18,0
1588738223.2206237,31,19,1
1588741818.5407481,34,16,0
1588745386.9525712,31,13,0
1588749017.1872492,32,11,0
1588752471.0016503,31,13,0
1588756207.3839197,34,13,0
1588759769.1076844,32,11,0
1588763390.0191748,34,9,0
1588766978.2004936,32,11,1
1588770479.1944146,34,10,1
1588774102.4065216,34,9,1
1588777725.964885,34,8,1
1588781260.7861824,35,10,1
1588784896.4606705,33,11,0
1588788534.0155122,33,10,0
1588792075.3679802,35,11,0
1588795822.6104896,34,11,0
1588799246.6928463,31,11,1
1588802857.1567676,30,11,1
1588806443.7371814,30,11,1
1588810367.6942275,30,11,1
1588813643.9574294,30,11,1
1588817351.3024256,30,11,1
1588820838.2158728,30,11,0
1588824398.906891,31,12,0
1588828173.1139994,33,10,0
1588831724.883931,32,12,0
1588835409.3993735,26,10,0
1588838903.6524668,28,11,0
1588842583.335049,23,15,1
1588846017.6159024,25,13,1
1588849832.6107945,25,13,1
1588853235.9619312,26,12,0
1588856940.9302123,27,15,0
1588860614.5222414,31,13,0
1588863949.0641823,36,12,0
1588867812.8610394,37,15,0
1588871494.913453,36,17,0
1588874901.7755258,41,18,0
1588878325.4188387,43,18,0
1588882268.339413,38,18,0
1588885570.4531753,39,17,1
1588889294.9730773,37,17,1
1588892777.970702,36,17,1
1588896757.4499707,36,17,1
1588900287.3283234,36,17,1
1588903667.3776972,36,17,1
1588907222.0275638,36,17,1
1588910997.9775565,36,17,1
1588914568.529179,36,17,1
1588918048.509515,34,19,1
1588921806.9620667,35,19,1
1588925189.2648082,29,18,1
1588929053.3426008,30,18,1
1588932372.4719017,31,13,1
1588935969.181141,25,14,0
1588939841.8071196,24,14,0
1588943362.2013903,22,13,0
1588946978.2301872,24,11,0
1588950370.8402867,27,13,0
1588954049.354526,25,15,0
1588957706.0972106,30,16,0
1588961440.4431672,32,15,0
1588964960.6934032,32,14,0
1588968530.6232665,32,12,0
1588971977.8647492,31,13,0
1588975731.5432122,30,14,0
1588979289.3700957,28,14,0
1588983146.423935,28,14,0
1588986672.8519273,28,14,0
1588990147.2470994,28,14,0
1588993813.9348032,28,14,0
1588997490.3717632,28,14,0
1589000878.9601705,28,14,0
1589004640.3160505,28,20,1
1589008002.755136,29,17,1
1589011771.2868545,28,16,0
1589015422.1916497,29,19,0
1589019000.752202,23,16,0
1589022701.7408984,23,15,0
1589026157.5795014,24,16,0
1589029580.619597,25,15,0
1589033176.8050246,24,14,0
1589036896.340005,24,14,0
1589040705.5045764,26,16,1
1589043979.0381675,32,18,1
1589047707.753985,32,19,0
1589051116.0604086,34,19,0
1589054903.919524,31,13,0
1589058533.147045,31,12,0
1589062221.394614,31,12,0
1589065748.2372503,31,12,0
1589069590.5087497,31,12,0
1589072990.5118015,31,12,0
1589076637.03384,31,12,0
1589080052.6091602,31,12,0
1589083838.046183,31,12,0
1589087187.6847997,31,12,0
1589090877.8205245,31,12,0
1589094504.8520792,31,12,0
1589098047.5698485,34,8,0
1589101694.4511793,29,13,0
1589105441.2624888,27,12,0
1589108912.8922977,33,12,0
1589112699.2603555,30,13,0
1589116104.837687,28,15,0
1589119844.750605,27,17,1
1589123204.0378993,31,18,1
1589126751.9498594,30,16,1
1589130565.6740515,36,15,0
1589134056.8659382,35,15,0
1589137685.327728,34,15,1
1589141199.5604434,37,14,1
1589144847.1065257,37,13,1
1589148423.7878857,36,12,0
1589152159.3650823,36,12,0
1589156066.4496992,36,11,0
1589159505.517906,36,11,0
1589162993.0121045,36,11,0
1589166369.454977,36,11,0
1589170269.676421,36,11,1
1589173878.4313922,35,12,0
1589177384.7962804,35,14,0
1589180865.66934,33,15,0
1589184476.399976,34,16,0
1589188037.4776983,28,13,0
1589191538.6445503,31,12,0
1589195183.2537568,32,11,0
1589199017.2217746,34,10,0
1589202504.8674948,32,11,0
1589205973.1343155,35,12,0
1589209797.5887728,34,14,0
1589213222.7191994,35,13,0
1589216943.026382,35,13,0
1589220483.1038446,33,12,0
1589224018.8007686,34,13,0
1589227693.0322878,32,15,1
1589231212.0122194,32,15,1
1589234764.1217108,28,14,0
1589238326.7595768,27,14,0
1589242489.7989535,27,14,0
